Comment,Footprint,Designator,JLCPCB Part #（optional )
"22","R_0805_2012Metric","R6,R2,R5","C17561"
"D_Small","D_SOD-123","D43,D105,D106,D98,D110,D109,D104,D103,D102,D101,D99,D97,D96,D95,D94,D93,D92,D91,D90,D89,D85,D84,D83,D82,D81,D78,D76,D75,D73,D72,D71,D70,D69,D68,D67,D65,D64,D63,D62,D61,D60,D59,D58,D57,D56,D54,D53,D52,D51,D50,D49,D48,D47,D46,D45,D44,D42,D41,D40,D39,D38,D37,D36,D35,D34,D32,D31,D30,D29,D28,D27,D26,D25,D24,D23,D21,D20,D19,D18,D17,D15,D14,D13,D12,D10,D9,D8,D7,D6,D5,D4,D3,D2,D1,D16","C81598"
"0.1uF","C_0805_2012Metric","C11,C5,C2,C1,C10,C9,C8","C49678"
"22pF","C_0805_2012Metric","C4,C3","C1804"
"16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","Y1","C13738"
"ATmega32U4-MU","atmega32u4-mu-and-au","U1","C44854"
"10k","R_0805_2012Metric","R4,R3","C17414"
"Conn_01x04_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","J1","C160404"
"10uF","C_0805_2012Metric","C7","C15850"
"1uF","C_0805_2012Metric","C6","C28323"
"SW_Push","SKQG-1155865","SW1","C318884"
"330","R_0805_2012Metric","R1","C17630"
